,Tweet Content,User Name,HashTags,Retweet Count,Favourite Count,URL
61,"#AI is getting more powerful, faster, and cheaper
#AIEthics #EthicalAI #ArtificialIntelligence #Algorithms #Data #Digital #Tech #Ethics #Ethical #Policy #Governance #DataEthics #DigitalEthics #TechEthics #AIPolicy #AIGovernance 
h/t @nigewillson 
https://t.co/KSM7w6jHqN",AIEthicsWatch,"['AI', 'AIEthics', 'EthicalAI', 'ArtificialIntelligence', 'Algorithms', 'Data', 'Digital', 'Tech', 'Ethics', 'Ethical', 'Policy', 'Governance', 'DataEthics', 'DigitalEthics', 'TechEthics', 'AIPolicy', 'AIGovernance']",1,1,https://twitter.com/AIEthicsWatch/status/1369639838589288452
62,"10 Wonderful Examples Of Using #ArtificialIntelligence (AI) For Good
by @BernardMarr @Forbes

Learn more https://t.co/gyHeKhjPPG

#AI #IoT #BigData #MachineLearning #ML #MI #DataScience #Robotics #5G #Tech4good

Cc: @spirosmargaris @jimmarous @guzmand https://t.co/QzaMuUOOw5",Ronald_vanLoon,"['ArtificialIntelligence', 'AI', 'IoT', 'BigData', 'MachineLearning', 'ML', 'MI', 'DataScience', 'Robotics', '5G', 'Tech4good']",3,4,https://twitter.com/Ronald_vanLoon/status/1369639812932714497
63,FREE Programming PDF eBooks #ArtificialIntelligence via https://t.co/CDsfTZ2vJz https://t.co/NU0eHmyEuN,JsPadoan,['ArtificialIntelligence'],0,0,https://twitter.com/JsPadoan/status/1369639714022686721
64,Top 10 AI-Powered Products We Use in Routine #ArtificialIntelligence  https://t.co/0fvBXcsGVz,neuzida,['ArtificialIntelligence'],0,0,https://twitter.com/neuzida/status/1369639712638595079
65,"@coinoxs 🔰 @Libonomy  engine Aphelion continuously improves by itself to grant the best performance at all times. ✅

#artificialintelligence #machincelearning #Libonomy #blockchain",Donna99657874,"['artificialintelligence', 'machincelearning', 'Libonomy', 'blockchain']",0,0,https://twitter.com/Donna99657874/status/1369639509751521280
66,"Effective Adoption and Implementation of #AI Principles
#AIEthics #EthicalAI #ArtificialIntelligence #Algorithms #Data #Digital #Tech #Ethics #Ethical #Policy #Governance #DataEthics #DigitalEthics #TechEthics #AIPolicy #AIGovernance 
h/t @andi_staub 
https://t.co/G6VRFEkEU4",AIEthicsWatch,"['AI', 'AIEthics', 'EthicalAI', 'ArtificialIntelligence', 'Algorithms', 'Data', 'Digital', 'Tech', 'Ethics', 'Ethical', 'Policy', 'Governance', 'DataEthics', 'DigitalEthics', 'TechEthics', 'AIPolicy', 'AIGovernance']",1,0,https://twitter.com/AIEthicsWatch/status/1369639385734524930
67,'Klara and the Sun' Imagines a Social Schism Driven by AI #DeepLearning #artificialintelligence #learning via https://t.co/3NKgw00W6J https://t.co/KNfoBteGGx,SureshRukman,"['DeepLearning', 'artificialintelligence', 'learning']",0,0,https://twitter.com/SureshRukman/status/1369639238279499777
68,Gartner Market Guide for #AIOps Platforms &gt; https://t.co/L6WSeCWtqs &gt; Via @ingliguori #DigitalTransformation #Cloud #MachineLearning #BigData #ArtificialIntelligence #cybersecurity #Blockchain #Analytics #AI #IIoT #DataScience #IoT #IoTPL #devops #MLOps @antgrasso @pierrepinna https://t.co/QUqGAo7I9W,ingliguori,"['AIOps', 'DigitalTransformation', 'Cloud', 'MachineLearning', 'BigData', 'ArtificialIntelligence', 'cybersecurity', 'Blockchain', 'Analytics', 'AI', 'IIoT', 'DataScience', 'IoT', 'IoTPL', 'devops', 'MLOps']",10,7,https://twitter.com/ingliguori/status/1369639195715768321
69,5 Frontier Technologies to Improve Health in Emerging Economies - Coruzant Technologies https://t.co/JSMn47w7PB #Healthcare #EmergingTech #Technology #GlobalTech #AI #ArtificialIntelligence #Blockchain #BlockchaingingTheWorld #Coruzant #TheDigitalExecutive,CSuitePro,"['Healthcare', 'EmergingTech', 'Technology', 'GlobalTech', 'AI', 'ArtificialIntelligence', 'Blockchain', 'BlockchaingingTheWorld', 'Coruzant', 'TheDigitalExecutive']",1,0,https://twitter.com/CSuitePro/status/1369639176656850945
70,"Is #AI Destroying #Equality?
by @unlikelytechie 
#AIEthics #EthicalAI #ArtificialIntelligence #Algorithms #Data #Digital #Tech #Ethics #Ethical #Politics #Policy #Governance #DataEthics #DigitalEthics #TechEthics #AIPolicy #AIGovernance #Diversity
https://t.co/2MZ9g5Jski",AIEthicsWatch,"['AI', 'Equality', 'AIEthics', 'EthicalAI', 'ArtificialIntelligence', 'Algorithms', 'Data', 'Digital', 'Tech', 'Ethics', 'Ethical', 'Politics', 'Policy', 'Governance', 'DataEthics', 'DigitalEthics', 'TechEthics', 'AIPolicy', 'AIGovernance', 'Diversity']",3,0,https://twitter.com/AIEthicsWatch/status/1369639010415558667
71,"Just received a paperback edition of my book - 'Mastering PyTorch' today. Thank you @PacktPub for this nice gift🙂

Amazon rating of 5/5 in India/Europe, and 4.7 in the US.

Get your copy now: https://t.co/ABRk10uPSm

#ArtificialIntelligence #pytorch #packt #machinelearning #ml https://t.co/0SNbuvzOaH",arj7192,"['ArtificialIntelligence', 'pytorch', 'packt', 'machinelearning', 'ml']",1,1,https://twitter.com/arj7192/status/1369638962634047488
72,DeepMind’s AlphaFold &amp; the Protein Folding Problem https://t.co/2sk5ZSpN0j #artificialintelligence,asifrazzaq1988,['artificialintelligence'],0,0,https://twitter.com/asifrazzaq1988/status/1369638810355601408
73,'Klara and the Sun' Imagines a Social Schism Driven by AI #ArtificialIntelligence #deeplearning #learning  https://t.co/BRR1horaeX,Necio_news,"['ArtificialIntelligence', 'deeplearning', 'learning']",0,0,https://twitter.com/Necio_news/status/1369638711546232834
74,"Optibus launches new AI platform to help cities plan transit routes https://t.co/IvD9jyGX2n #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/Id3UiBuQj2",genericgranola,"['AI', 'MachineLearning', 'DataScience', 'ArtificialIntelligence']",1,0,https://twitter.com/genericgranola/status/1369638256632008706
75,"Support this campaign by IBF DigiLabs to develop a unique Digital Waqf - IRSHAD, an Intelligent Robo Shariah Advisor which will be available 24/7 with high reliability: 
https://t.co/BBhtZtXGjx
#ArtificialIntelligence #MachineLearning #fintech #sharia",swalehasamsar,"['ArtificialIntelligence', 'MachineLearning', 'fintech', 'sharia']",1,0,https://twitter.com/swalehasamsar/status/1369638239816929288
76,'Klara and the Sun' Imagines a Social Schism Driven by AI #DeepLearning #artificialintelligence #learning via https://t.co/8zHOhjQNSz https://t.co/BVorvbaZbU,ReformReality,"['DeepLearning', 'artificialintelligence', 'learning']",0,0,https://twitter.com/ReformReality/status/1369638079263371269
77,Another fun interview about #machinelearning trends by @TheSequenceAI. Really enjoyed  this chat with @manuaero CEO of @labelbox one of the hottest platforms in data labeling automation:  https://t.co/eLMDu5NPih #TheSequence #LabelBox #DeepLearning #ArtificialIntelligence,jrdothoughts,"['machinelearning', 'TheSequence', 'LabelBox', 'DeepLearning', 'ArtificialIntelligence']",1,2,https://twitter.com/jrdothoughts/status/1369638060258889735
78,'Klara and the Sun' Imagines a Social Schism Driven by AI #ArtificialIntelligence #deeplearning #learning via https://t.co/bDTgBUIWtG https://t.co/oYS76GX3To,sajidmirza,"['ArtificialIntelligence', 'deeplearning', 'learning']",0,0,https://twitter.com/sajidmirza/status/1369638019435814915
79,'Klara and the Sun' Imagines a Social Schism Driven by AI #DeepLearning #artificialintelligence #learning via https://t.co/XqJP2T8ceN https://t.co/WdYcLVz0Wd,melissablive,"['DeepLearning', 'artificialintelligence', 'learning']",0,0,https://twitter.com/melissablive/status/1369637956282093575
80,Famous AI Gone Wrong Examples In the Real World we Need to Know #ArtificialIntelligence via https://t.co/KDUhFaFE1M https://t.co/iVGhZxsgDb,cornichecorp,['ArtificialIntelligence'],0,0,https://twitter.com/cornichecorp/status/1369637954956759043
81,"Data Virtualization Leader @denodo Gains Momentum in Greater China

#Denodo #AI #Security #cybersecurity #Intelligence #AITECHPARK #artificialintelligence #artificialintelligenceai
https://t.co/dckPqS7xYs",AITechpark,"['Denodo', 'AI', 'Security', 'cybersecurity', 'Intelligence', 'AITECHPARK', 'artificialintelligence', 'artificialintelligenceai']",1,0,https://twitter.com/AITechpark/status/1369637930709487618
82,"@WorkFusion, an automation solutions to enterprises, receives $220M in funding from @Georgian_io 

Sign up for free weekly email newsletter at https://t.co/9RiWPDjCNt

#Software #SaaS #VentureCapital #ArtificialIntelligence https://t.co/BdvKN8cTDK",SoftwareReport1,"['Software', 'SaaS', 'VentureCapital', 'ArtificialIntelligence']",0,0,https://twitter.com/SoftwareReport1/status/1369637914959810566
83,Reading Different Data Inputs in Machine Learning with Python by Amit Chauhan via #TowardsAI → https://t.co/i1QE9ordAG #MachineLearning #ML #ArtificialIntelligence #AI #DataScience #DeepLearning #Technology #Programming #news #research #Science,towards_AI,"['TowardsAI', 'MachineLearning', 'ML', 'ArtificialIntelligence', 'AI', 'DataScience', 'DeepLearning', 'Technology', 'Programming', 'news', 'research', 'Science']",3,1,https://twitter.com/towards_AI/status/1369637453934563331
84,Introduction to hierarchical clustering (part 2 — python implementation) https://t.co/dvdaDYE7jY #GetMoreInsights #CoolerData #Data #Python #Science #IoT #ArtificialIntelligence #BusinessIntelligence https://t.co/TMadraGxHJ,CoolerData,"['GetMoreInsights', 'CoolerData', 'Data', 'Python', 'Science', 'IoT', 'ArtificialIntelligence', 'BusinessIntelligence']",6,0,https://twitter.com/CoolerData/status/1369637304512385024
85,Five AI Myths And Misconceptions And The Role Of Communications https://t.co/pJw6EtXu6L @Forbes #ArtificialIntelligence #AI @titus_k #technology #bias #communications #marcom #marketers #KI #Kunstmatigeintelligentie #algorithms #customerexperience #communicatie #reclame #data,vsnamsterdam,"['ArtificialIntelligence', 'AI', 'technology', 'bias', 'communications', 'marcom', 'marketers', 'KI', 'Kunstmatigeintelligentie', 'algorithms', 'customerexperience', 'communicatie', 'reclame', 'data']",3,2,https://twitter.com/vsnamsterdam/status/1369637271067123715
86,"Ashokraj D
@AshokrajD1
Today Client Work! Checkout my profile: https://t.co/HidQuJRggg

 #lineart #linedrawing #technicalart #design #imagetracing #gopro #goproaccessories #productdesign #artificialintelligence #actioncamera #camera #photography #irobot #ai https://t.co/jZ8tIxcvWU",AshokrajD1,"['lineart', 'linedrawing', 'technicalart', 'design', 'imagetracing', 'gopro', 'goproaccessories', 'productdesign', 'artificialintelligence', 'actioncamera', 'camera', 'photography', 'irobot', 'ai']",2,0,https://twitter.com/AshokrajD1/status/1369637182533554183
87,5 Frontier Technologies to Improve Health in Emerging Economies - Coruzant Technologies https://t.co/vTYvrX52ci #Healthcare #EmergingTech #Technology #GlobalTech #AI #ArtificialIntelligence #Blockchain #BlockchaingingTheWorld #Coruzant,Coruzant,"['Healthcare', 'EmergingTech', 'Technology', 'GlobalTech', 'AI', 'ArtificialIntelligence', 'Blockchain', 'BlockchaingingTheWorld', 'Coruzant']",1,0,https://twitter.com/Coruzant/status/1369637162149412868
88,"@OvalMoney @claudiobedino ‍🤝‍ Healthcare industry requires a fast, complex database solution where seamless communication between public and private sides is possible; Libonomy is the only blockchain that can achieve that. 💵 

#artificialintelligence #machincelearning #Libonomy #blockchain",CoreyWh43572365,"['artificialintelligence', 'machincelearning', 'Libonomy', 'blockchain']",0,0,https://twitter.com/CoreyWh43572365/status/1369637162002509825
89,"Use #MachineLearning to prevent bankruptcy in your company using Neural Designer.

https://t.co/gj2ItwxDDz

#ArtificialIntelligence #NeuralNetworks",NeuralDesigner,"['MachineLearning', 'ArtificialIntelligence', 'NeuralNetworks']",3,1,https://twitter.com/NeuralDesigner/status/1369637104507052034
90,VB &gt; Optibus launches new AI platform to help cities plan transit routes &gt; https://t.co/ju629T7rXf &gt; #BigDataLove &gt; #BigData at https://t.co/WL2IJ33GOQ &gt; #BusinessIntelligence #ArtificialIntelligence #CognitiveComputing #DataScience #Analysis #Research,BigDataLove,"['BigDataLove', 'BigData', 'BusinessIntelligence', 'ArtificialIntelligence', 'CognitiveComputing', 'DataScience', 'Analysis', 'Research']",2,1,https://twitter.com/BigDataLove/status/1369637044939587584
91,"Using AI to Turn Your Teams Into Superteams

https://t.co/HJYuEepXCC via @HarvardBiz @Deloitte 

#datascience #artificialintelligence #technology",blue_metrix,"['datascience', 'artificialintelligence', 'technology']",2,0,https://twitter.com/blue_metrix/status/1369636915360784384
92,#News: Cloud cybersecurity startup Lumu raises a $7.5 million Series A #artificialintelligence #AI https://t.co/aIPkjJdnJb https://t.co/rbOU7s6OBQ,AIFeeds,"['News', 'artificialintelligence', 'AI']",1,0,https://twitter.com/AIFeeds/status/1369636273833484289
93,#News: How Fintech Is Evolving In 2021 #fintech #artificialintelligence #AI https://t.co/Y7T2xC4otO https://t.co/AStTrYXGCI,AIFeeds,"['News', 'fintech', 'artificialintelligence', 'AI']",1,0,https://twitter.com/AIFeeds/status/1369636266149507072
94,A Discussion of Machine Learning Competitions #ArtificialIntelligence #deeplearning #learning  https://t.co/WE7kmN2FOp,hashem25,"['ArtificialIntelligence', 'deeplearning', 'learning']",2,1,https://twitter.com/hashem25/status/1369635947881594881
95,"""...the technology simply isn’t ready, as many of the existing systems have not yet been matured to manage larger #datasets... and thus, are not able to perform as promised."" #radiology #artificialintelligence https://t.co/47gobSQrYR",getzegami,"['datasets', 'radiology', 'artificialintelligence']",1,1,https://twitter.com/getzegami/status/1369635901815496708
96,"Last chance to stop by our virtual booth and tell us about your #mammography #qualityimprovement, service delivery and understaffing challenges. 

We can help, connect with us to learn how. #ECR2021 #ArtificialIntelligence https://t.co/f7szOMDox6

@myESR https://t.co/oZqYqjlPLe",Densitas,"['mammography', 'qualityimprovement', 'ECR2021', 'ArtificialIntelligence']",1,1,https://twitter.com/Densitas/status/1369635403414839299
97,"Barriers to AI adoption: Culture, Infrastructure, talent and fear :-

https://t.co/eGE4YITgYt

#artificialintelligence #ai #machinelearning #technology #datascience #deeplearning #python #programming #robotics #tech #informationtechnology #technology #it #cybersecurity #tech # https://t.co/Tf9mvclNy3",GeekCrunchR,"['artificialintelligence', 'ai', 'machinelearning', 'technology', 'datascience', 'deeplearning', 'python', 'programming', 'robotics', 'tech', 'informationtechnology', 'technology', 'it', 'cybersecurity', 'tech']",7,1,https://twitter.com/GeekCrunchR/status/1369635399090335744
98,"Smart Reviews Platform Launched To Help Root Out Dropshipped “Burner Brands” - MarTech Series

Read more here: https://t.co/hIXH8OQKXH

#ArtificialIntelligence #AI #DataScience #MachineLearning #BigData #DeepLearning #NLP #Robots #IoT",FabienBrodie,"['ArtificialIntelligence', 'AI', 'DataScience', 'MachineLearning', 'BigData', 'DeepLearning', 'NLP', 'Robots', 'IoT']",3,2,https://twitter.com/FabienBrodie/status/1369635215870660611
99,Top 10 AI-Powered Products We Use in Routine #ArtificialIntelligence via https://t.co/KDUhFaFE1M https://t.co/XRYZudffJO,cornichecorp,['ArtificialIntelligence'],0,1,https://twitter.com/cornichecorp/status/1369635098233090048
